Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
1,100,1,1,0,0,0,0,1,0.056666666666666664
2,100,1,2,0,0,0,0,1,0.06
3,100,1,3,0,0,0,0,1,0.04
4,100,1,4,0,0,0,0,1,0.06333333333333334
5,100,2,1,0,0,0,0,1,0.05333333333333334
6,100,2,2,0,0,0,0,1,0.03333333333333333
7,100,2,3,0,0,0,0,1,0.04666666666666667
8,100,2,4,0,0,0,0,1,0.05333333333333334
9,100,5,1,0,0,0,0,1,0.02666666666666667
10,100,5,2,0,0,0,0,1,0.04666666666666667
11,100,5,3,0,0,0,0,1,0.04
12,100,5,4,0,0,0,0,1,0.056666666666666664
13,100,10,1,0,0,0,0,1,0.043333333333333335
14,100,10,2,0,0,0,0,1,0.06
15,100,10,3,0,0,0,0,1,0.04
16,100,10,4,0,0,0,0,1,0.04
17,100,20,1,0,0,0,0,1,0.05
18,100,20,2,0,0,0,0,1,0.056666666666666664
19,100,20,3,0,0,0,0,1,0.06333333333333334
20,100,20,4,0,0,0,0,1,0.04666666666666667
21,250,1,1,0,0,0,0,1,0.04666666666666667
22,250,1,2,0,0,0,0,1,0.05
23,250,1,3,0,0,0,0,1,0.07
24,250,1,4,0,0,0,0,1,0.05333333333333334
25,250,2,1,0,0,0,0,1,0.03333333333333333
26,250,2,2,0,0,0,0,1,0.056666666666666664
27,250,2,3,0,0,0,0,1,0.06
28,250,2,4,0,0,0,0,1,0.02666666666666667
29,250,5,1,0,0,0,0,1,0.043333333333333335
30,250,5,2,0,0,0,0,1,0.06666666666666667
31,250,5,3,0,0,0,0,1,0.04
32,250,5,4,0,0,0,0,1,0.05
33,250,10,1,0,0,0,0,1,0.023333333333333334
34,250,10,2,0,0,0,0,1,0.043333333333333335
35,250,10,3,0,0,0,0,1,0.05
36,250,10,4,0,0,0,0,1,0.05
37,250,20,1,0,0,0,0,1,0.05333333333333334
38,250,20,2,0,0,0,0,1,0.04
39,250,20,3,0,0,0,0,1,0.06666666666666667
40,250,20,4,0,0,0,0,1,0.08333333333333333
41,500,1,1,0,0,0,0,1,0.05333333333333334
42,500,1,2,0,0,0,0,1,0.056666666666666664
43,500,1,3,0,0,0,0,1,0.043333333333333335
44,500,1,4,0,0,0,0,1,0.05333333333333334
45,500,2,1,0,0,0,0,1,0.05333333333333334
46,500,2,2,0,0,0,0,1,0.03666666666666667
47,500,2,3,0,0,0,0,1,0.06666666666666667
48,500,2,4,0,0,0,0,1,0.02666666666666667
49,500,5,1,0,0,0,0,1,0.07333333333333333
50,500,5,2,0,0,0,0,1,0.04
51,500,5,3,0,0,0,0,1,0.04
52,500,5,4,0,0,0,0,1,0.043333333333333335
53,500,10,1,0,0,0,0,1,0.03666666666666667
54,500,10,2,0,0,0,0,1,0.06333333333333334
55,500,10,3,0,0,0,0,1,0.04
56,500,10,4,0,0,0,0,1,0.043333333333333335
57,500,20,1,0,0,0,0,1,0.05333333333333334
58,500,20,2,0,0,0,0,1,0.04
59,500,20,3,0,0,0,0,1,0.04666666666666667
60,500,20,4,0,0,0,0,1,0.03666666666666667
61,1000,1,1,0,0,0,0,1,0.03666666666666667
62,1000,1,2,0,0,0,0,1,0.06
63,1000,1,3,0,0,0,0,1,0.04
64,1000,1,4,0,0,0,0,1,0.04
65,1000,2,1,0,0,0,0,1,0.04666666666666667
66,1000,2,2,0,0,0,0,1,0.03
67,1000,2,3,0,0,0,0,1,0.056666666666666664
68,1000,2,4,0,0,0,0,1,0.08
69,1000,5,1,0,0,0,0,1,0.05333333333333334
70,1000,5,2,0,0,0,0,1,0.056666666666666664
71,1000,5,3,0,0,0,0,1,0.06333333333333334
72,1000,5,4,0,0,0,0,1,0.05
73,1000,10,1,0,0,0,0,1,0.09
74,1000,10,2,0,0,0,0,1,0.03666666666666667
75,1000,10,3,0,0,0,0,1,0.03666666666666667
76,1000,10,4,0,0,0,0,1,0.05333333333333334
77,1000,20,1,0,0,0,0,1,0.04
78,1000,20,2,0,0,0,0,1,0.04
79,1000,20,3,0,0,0,0,1,0.06333333333333334
80,1000,20,4,0,0,0,0,1,0.03666666666666667
81,2000,1,1,0,0,0,0,1,0.043333333333333335
82,2000,1,2,0,0,0,0,1,0.04666666666666667
83,2000,1,3,0,0,0,0,1,0.056666666666666664
84,2000,1,4,0,0,0,0,1,0.03666666666666667
85,2000,2,1,0,0,0,0,1,0.05
86,2000,2,2,0,0,0,0,1,0.03333333333333333
87,2000,2,3,0,0,0,0,1,0.06333333333333334
88,2000,2,4,0,0,0,0,1,0.06333333333333334
89,2000,5,1,0,0,0,0,1,0.05
90,2000,5,2,0,0,0,0,1,0.06666666666666667
91,2000,5,3,0,0,0,0,1,0.05333333333333334
92,2000,5,4,0,0,0,0,1,0.05
93,2000,10,1,0,0,0,0,1,0.04666666666666667
94,2000,10,2,0,0,0,0,1,0.05333333333333334
95,2000,10,3,0,0,0,0,1,0.04666666666666667
96,2000,10,4,0,0,0,0,1,0.03333333333333333
97,2000,20,1,0,0,0,0,1,0.06
98,2000,20,2,0,0,0,0,1,0.043333333333333335
99,2000,20,3,0,0,0,0,1,0.06666666666666667
100,2000,20,4,0,0,0,0,1,0.06333333333333334
