Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
1,500,5,2,0,0,0.0,0,1,0.056666666666666664
2,500,5,2,0,1,0.0,0,2,0.36
3,500,5,2,0,2,0.0,0,2,0.24666666666666667
4,500,5,2,0,0,0.0,2,1,0.06
5,500,5,2,0,1,0.0,2,2,0.43666666666666665
6,500,5,2,0,2,0.0,2,2,0.32
7,500,5,2,0,0,0.0,5,1,0.04666666666666667
8,500,5,2,0,1,0.0,5,2,0.45666666666666667
9,500,5,2,0,2,0.0,5,2,0.30333333333333334
10,500,5,2,0,0,0.5,0,1,0.05
11,500,5,2,0,1,0.5,0,2,0.3333333333333333
12,500,5,2,0,2,0.5,0,2,0.31333333333333335
13,500,5,2,0,0,0.5,2,2,0.9566666666666667
14,500,5,2,0,1,0.5,2,2,0.35333333333333333
15,500,5,2,0,2,0.5,2,2,0.31333333333333335
16,500,5,2,0,0,0.5,5,2,0.9666666666666667
17,500,5,2,0,1,0.5,5,2,0.4033333333333333
18,500,5,2,0,2,0.5,5,2,0.3
19,500,5,2,0,0,0.9,0,1,0.05
20,500,5,2,0,1,0.9,0,2,0.37666666666666665
21,500,5,2,0,2,0.9,0,2,0.31333333333333335
22,500,5,2,0,0,0.9,2,2,0.95
23,500,5,2,0,1,0.9,2,2,0.30333333333333334
24,500,5,2,0,2,0.9,2,2,0.25666666666666665
25,500,5,2,0,0,0.9,5,2,0.9533333333333334
26,500,5,2,0,1,0.9,5,2,0.34
27,500,5,2,0,2,0.9,5,2,0.26
28,500,5,2,1,0,0.0,0,2,0.02666666666666667
29,500,5,2,1,1,0.0,0,2,0.16666666666666666
30,500,5,2,1,2,0.0,0,2,0.20666666666666667
31,500,5,2,1,0,0.0,2,2,0.08333333333333333
32,500,5,2,1,1,0.0,2,2,0.19333333333333333
33,500,5,2,1,2,0.0,2,2,0.23666666666666666
34,500,5,2,1,0,0.0,5,2,0.25666666666666665
35,500,5,2,1,1,0.0,5,2,0.23666666666666666
36,500,5,2,1,2,0.0,5,2,0.22333333333333333
37,500,5,2,1,0,0.5,0,2,0.02666666666666667
38,500,5,2,1,1,0.5,0,2,0.19
39,500,5,2,1,2,0.5,0,2,0.21333333333333335
40,500,5,2,1,0,0.5,2,2,0.09666666666666666
41,500,5,2,1,1,0.5,2,2,0.17333333333333334
42,500,5,2,1,2,0.5,2,2,0.21666666666666667
43,500,5,2,1,0,0.5,5,2,0.17666666666666667
44,500,5,2,1,1,0.5,5,2,0.23666666666666666
45,500,5,2,1,2,0.5,5,2,0.2833333333333333
46,500,5,2,1,0,0.9,0,2,0.04
47,500,5,2,1,1,0.9,0,2,0.16666666666666666
48,500,5,2,1,2,0.9,0,2,0.20666666666666667
49,500,5,2,1,0,0.9,2,2,0.04666666666666667
50,500,5,2,1,1,0.9,2,2,0.18666666666666668
51,500,5,2,1,2,0.9,2,2,0.23333333333333334
52,500,5,2,1,0,0.9,5,2,0.10666666666666667
53,500,5,2,1,1,0.9,5,2,0.21666666666666667
54,500,5,2,1,2,0.9,5,2,0.23333333333333334
55,500,5,2,2,0,0.0,0,2,0.0033333333333333335
56,500,5,2,2,1,0.0,0,2,0.09
57,500,5,2,2,2,0.0,0,2,0.15666666666666668
58,500,5,2,2,0,0.0,2,2,0.006666666666666667
59,500,5,2,2,1,0.0,2,2,0.08
60,500,5,2,2,2,0.0,2,2,0.16
61,500,5,2,2,0,0.0,5,2,0.04666666666666667
62,500,5,2,2,1,0.0,5,2,0.14
63,500,5,2,2,2,0.0,5,2,0.14666666666666667
64,500,5,2,2,0,0.5,0,2,0.006666666666666667
65,500,5,2,2,1,0.5,0,2,0.11
66,500,5,2,2,2,0.5,0,2,0.13666666666666666
67,500,5,2,2,0,0.5,2,2,0.0
68,500,5,2,2,1,0.5,2,2,0.08
69,500,5,2,2,2,0.5,2,2,0.19333333333333333
70,500,5,2,2,0,0.5,5,2,0.06
71,500,5,2,2,1,0.5,5,2,0.12333333333333334
72,500,5,2,2,2,0.5,5,2,0.17333333333333334
73,500,5,2,2,0,0.9,0,2,0.0
74,500,5,2,2,1,0.9,0,2,0.08333333333333333
75,500,5,2,2,2,0.9,0,2,0.14
76,500,5,2,2,0,0.9,2,2,0.0033333333333333335
77,500,5,2,2,1,0.9,2,2,0.09666666666666666
78,500,5,2,2,2,0.9,2,2,0.18
79,500,5,2,2,0,0.9,5,2,0.006666666666666667
80,500,5,2,2,1,0.9,5,2,0.13666666666666666
81,500,5,2,2,2,0.9,5,2,0.15333333333333332
82,500,5,2,5,0,0.0,0,2,0.043333333333333335
83,500,5,2,5,1,0.0,0,2,0.07
84,500,5,2,5,2,0.0,0,2,0.08333333333333333
85,500,5,2,5,0,0.0,2,2,0.05
86,500,5,2,5,1,0.0,2,2,0.07
87,500,5,2,5,2,0.0,2,2,0.07
88,500,5,2,5,0,0.0,5,2,0.05333333333333334
89,500,5,2,5,1,0.0,5,2,0.06666666666666667
90,500,5,2,5,2,0.0,5,2,0.056666666666666664
91,500,5,2,5,0,0.5,0,2,0.05333333333333334
92,500,5,2,5,1,0.5,0,2,0.05
93,500,5,2,5,2,0.5,0,2,0.08333333333333333
94,500,5,2,5,0,0.5,2,2,0.06
95,500,5,2,5,1,0.5,2,2,0.05333333333333334
96,500,5,2,5,2,0.5,2,2,0.056666666666666664
97,500,5,2,5,0,0.5,5,2,0.07333333333333333
98,500,5,2,5,1,0.5,5,2,0.056666666666666664
99,500,5,2,5,2,0.5,5,2,0.07666666666666666
100,500,5,2,5,0,0.9,0,2,0.05
101,500,5,2,5,1,0.9,0,2,0.07
102,500,5,2,5,2,0.9,0,2,0.07
103,500,5,2,5,0,0.9,2,2,0.03333333333333333
104,500,5,2,5,1,0.9,2,2,0.06333333333333334
105,500,5,2,5,2,0.9,2,2,0.07333333333333333
106,500,5,2,5,0,0.9,5,2,0.06
