Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
1,100,1,1,1,0,0,0,2,0.19666666666666666
2,100,1,1,2,0,0,0,2,0.30666666666666664
3,100,1,1,3,0,0,0,2,0.19
4,100,1,1,4,0,0,0,2,0.30666666666666664
5,100,1,2,1,0,0,0,2,0.21666666666666667
6,100,1,2,2,0,0,0,2,0.13
7,100,1,2,3,0,0,0,2,0.13
8,100,1,2,4,0,0,0,2,0.16
9,100,1,3,1,0,0,0,2,0.21666666666666667
10,100,1,3,2,0,0,0,2,0.17
11,100,1,3,3,0,0,0,2,0.13666666666666666
12,100,1,3,4,0,0,0,2,0.16
13,100,1,4,1,0,0,0,2,0.2633333333333333
14,100,1,4,2,0,0,0,2,0.14
15,100,1,4,3,0,0,0,2,0.14666666666666667
16,100,1,4,4,0,0,0,2,0.16666666666666666
17,100,2,1,1,0,0,0,2,0.08666666666666667
18,100,2,1,2,0,0,0,2,0.20666666666666667
19,100,2,1,3,0,0,0,2,0.05333333333333334
20,100,2,1,4,0,0,0,2,0.25
21,100,2,2,1,0,0,0,2,0.11333333333333333
22,100,2,2,2,0,0,0,2,0.03
23,100,2,2,3,0,0,0,2,0.05
24,100,2,2,4,0,0,0,2,0.11
25,100,2,3,1,0,0,0,2,0.14
26,100,2,3,2,0,0,0,2,0.043333333333333335
27,100,2,3,3,0,0,0,2,0.02666666666666667
28,100,2,3,4,0,0,0,2,0.06333333333333334
29,100,2,4,1,0,0,0,2,0.15666666666666668
30,100,2,4,2,0,0,0,2,0.03333333333333333
31,100,2,4,3,0,0,0,2,0.043333333333333335
32,100,2,4,4,0,0,0,2,0.06
33,100,5,1,1,0,0,0,2,0.07666666666666666
34,100,5,1,2,0,0,0,2,0.15666666666666668
35,100,5,1,3,0,0,0,2,0.04666666666666667
36,100,5,1,4,0,0,0,2,0.23333333333333334
37,100,5,2,1,0,0,0,2,0.11
38,100,5,2,2,0,0,0,2,0.0
39,100,5,2,3,0,0,0,2,0.006666666666666667
40,100,5,2,4,0,0,0,2,0.11
41,100,5,3,1,0,0,0,2,0.10333333333333333
42,100,5,3,2,0,0,0,2,0.01
43,100,5,3,3,0,0,0,2,0.0033333333333333335
44,100,5,3,4,0,0,0,2,0.08
45,100,5,4,1,0,0,0,2,0.1
46,100,5,4,2,0,0,0,2,0.03666666666666667
47,100,5,4,3,0,0,0,2,0.0
48,100,5,4,4,0,0,0,2,0.07666666666666666
49,100,10,1,1,0,0,0,2,0.07333333333333333
50,100,10,1,2,0,0,0,2,0.18333333333333332
51,100,10,1,3,0,0,0,2,0.03666666666666667
52,100,10,1,4,0,0,0,2,0.26666666666666666
53,100,10,2,1,0,0,0,2,0.06333333333333334
54,100,10,2,2,0,0,0,2,0.006666666666666667
55,100,10,2,3,0,0,0,2,0.0
56,100,10,2,4,0,0,0,2,0.12666666666666668
57,100,10,3,1,0,0,0,2,0.10333333333333333
58,100,10,3,2,0,0,0,2,0.0
59,100,10,3,3,0,0,0,2,0.0
60,100,10,3,4,0,0,0,2,0.09333333333333334
61,100,10,4,1,0,0,0,2,0.11333333333333333
62,100,10,4,2,0,0,0,2,0.006666666666666667
63,100,10,4,3,0,0,0,2,0.0
64,100,10,4,4,0,0,0,2,0.12
65,250,1,1,1,0,0,0,2,0.12
66,250,1,1,2,0,0,0,2,0.27666666666666667
67,250,1,1,3,0,0,0,2,0.12666666666666668
68,250,1,1,4,0,0,0,2,0.24666666666666667
69,250,1,2,1,0,0,0,2,0.14333333333333334
70,250,1,2,2,0,0,0,2,0.14666666666666667
71,250,1,2,3,0,0,0,2,0.11333333333333333
72,250,1,2,4,0,0,0,2,0.1
73,250,1,3,1,0,0,0,2,0.15
74,250,1,3,2,0,0,0,2,0.14
75,250,1,3,3,0,0,0,2,0.09333333333333334
76,250,1,3,4,0,0,0,2,0.11333333333333333
77,250,1,4,1,0,0,0,2,0.17666666666666667
78,250,1,4,2,0,0,0,2,0.13333333333333333
79,250,1,4,3,0,0,0,2,0.1
80,250,1,4,4,0,0,0,2,0.10666666666666667
81,250,2,1,1,0,0,0,2,0.06333333333333334
82,250,2,1,2,0,0,0,2,0.14
83,250,2,1,3,0,0,0,2,0.043333333333333335
84,250,2,1,4,0,0,0,2,0.16666666666666666
85,250,2,2,1,0,0,0,2,0.06333333333333334
86,250,2,2,2,0,0,0,2,0.03333333333333333
87,250,2,2,3,0,0,0,2,0.03
88,250,2,2,4,0,0,0,2,0.056666666666666664
89,250,2,3,1,0,0,0,2,0.08
90,250,2,3,2,0,0,0,2,0.023333333333333334
91,250,2,3,3,0,0,0,2,0.023333333333333334
92,250,2,3,4,0,0,0,2,0.07
93,250,2,4,1,0,0,0,2,0.07333333333333333
94,250,2,4,2,0,0,0,2,0.0033333333333333335
95,250,2,4,3,0,0,0,2,0.02666666666666667
96,250,2,4,4,0,0,0,2,0.06333333333333334
97,250,5,1,1,0,0,0,2,0.05
98,250,5,1,2,0,0,0,2,0.13333333333333333
99,250,5,1,3,0,0,0,2,0.04
100,250,5,1,4,0,0,0,2,0.22
101,250,5,2,1,0,0,0,2,0.04666666666666667
102,250,5,2,2,0,0,0,2,0.0033333333333333335
103,250,5,2,3,0,0,0,2,0.01
104,250,5,2,4,0,0,0,2,0.07333333333333333
105,250,5,3,1,0,0,0,2,0.07666666666666666
106,250,5,3,2,0,0,0,2,0.0
107,250,5,3,3,0,0,0,2,0.0
108,250,5,3,4,0,0,0,2,0.07666666666666666
109,250,5,4,1,0,0,0,2,0.04
110,250,5,4,2,0,0,0,2,0.0033333333333333335
111,250,5,4,3,0,0,0,2,0.0
112,250,5,4,4,0,0,0,2,0.05333333333333334
113,250,10,1,1,0,0,0,2,0.02
114,250,10,1,2,0,0,0,2,0.09666666666666666
115,250,10,1,3,0,0,0,2,0.01
116,250,10,1,4,0,0,0,2,0.23333333333333334
117,250,10,2,1,0,0,0,2,0.07666666666666666
118,250,10,2,2,0,0,0,2,0.0
119,250,10,2,3,0,0,0,2,0.0
120,250,10,2,4,0,0,0,2,0.06666666666666667
121,250,10,3,1,0,0,0,2,0.08
122,250,10,3,2,0,0,0,2,0.0033333333333333335
123,250,10,3,3,0,0,0,2,0.0
124,250,10,3,4,0,0,0,2,0.06333333333333334
125,250,10,4,1,0,0,0,2,0.05
126,250,10,4,2,0,0,0,2,0.0
127,250,10,4,3,0,0,0,2,0.0
128,250,10,4,4,0,0,0,2,0.09
129,500,1,1,1,0,0,0,2,0.12666666666666668
130,500,1,1,2,0,0,0,2,0.21333333333333335
131,500,1,1,3,0,0,0,2,0.11
132,500,1,1,4,0,0,0,2,0.24333333333333335
133,500,1,2,1,0,0,0,2,0.12666666666666668
134,500,1,2,2,0,0,0,2,0.08333333333333333
135,500,1,2,3,0,0,0,2,0.06666666666666667
136,500,1,2,4,0,0,0,2,0.11
137,500,1,3,1,0,0,0,2,0.12
138,500,1,3,2,0,0,0,2,0.12
139,500,1,3,3,0,0,0,2,0.10666666666666667
140,500,1,3,4,0,0,0,2,0.12
141,500,1,4,1,0,0,0,2,0.15
142,500,1,4,2,0,0,0,2,0.07
143,500,1,4,3,0,0,0,2,0.10666666666666667
144,500,1,4,4,0,0,0,2,0.10666666666666667
145,500,2,1,1,0,0,0,2,0.05
146,500,2,1,2,0,0,0,2,0.11666666666666667
147,500,2,1,3,0,0,0,2,0.03
148,500,2,1,4,0,0,0,2,0.13
149,500,2,2,1,0,0,0,2,0.06666666666666667
150,500,2,2,2,0,0,0,2,0.013333333333333334
151,500,2,2,3,0,0,0,2,0.01
152,500,2,2,4,0,0,0,2,0.056666666666666664
153,500,2,3,1,0,0,0,2,0.04666666666666667
154,500,2,3,2,0,0,0,2,0.016666666666666666
155,500,2,3,3,0,0,0,2,0.016666666666666666
156,500,2,3,4,0,0,0,2,0.043333333333333335
157,500,2,4,1,0,0,0,2,0.05
158,500,2,4,2,0,0,0,2,0.013333333333333334
159,500,2,4,3,0,0,0,2,0.006666666666666667
160,500,2,4,4,0,0,0,2,0.03666666666666667
161,500,5,1,1,0,0,0,2,0.04
162,500,5,1,2,0,0,0,2,0.08
163,500,5,1,3,0,0,0,2,0.016666666666666666
164,500,5,1,4,0,0,0,2,0.15
165,500,5,2,1,0,0,0,2,0.05
166,500,5,2,2,0,0,0,2,0.0033333333333333335
167,500,5,2,3,0,0,0,2,0.0
168,500,5,2,4,0,0,0,2,0.03
169,500,5,3,1,0,0,0,2,0.043333333333333335
170,500,5,3,2,0,0,0,2,0.0033333333333333335
171,500,5,3,3,0,0,0,2,0.0
172,500,5,3,4,0,0,0,2,0.04666666666666667
173,500,5,4,1,0,0,0,2,0.03666666666666667
174,500,5,4,2,0,0,0,2,0.0033333333333333335
175,500,5,4,3,0,0,0,2,0.0
176,500,5,4,4,0,0,0,2,0.06
177,500,10,1,1,0,0,0,2,0.02666666666666667
178,500,10,1,2,0,0,0,2,0.08333333333333333
179,500,10,1,3,0,0,0,2,0.0033333333333333335
180,500,10,1,4,0,0,0,2,0.14333333333333334
181,500,10,2,1,0,0,0,2,0.05333333333333334
182,500,10,2,2,0,0,0,2,0.0
183,500,10,2,3,0,0,0,2,0.0
184,500,10,2,4,0,0,0,2,0.03666666666666667
185,500,10,3,1,0,0,0,2,0.016666666666666666
186,500,10,3,2,0,0,0,2,0.0033333333333333335
187,500,10,3,3,0,0,0,2,0.0
188,500,10,3,4,0,0,0,2,0.043333333333333335
189,500,10,4,1,0,0,0,2,0.04
190,500,10,4,2,0,0,0,2,0.0
191,500,10,4,3,0,0,0,2,0.0
192,500,10,4,4,0,0,0,2,0.04
193,1000,1,1,1,0,0,0,2,0.09333333333333334
194,1000,1,1,2,0,0,0,2,0.14333333333333334
195,1000,1,1,3,0,0,0,2,0.08
196,1000,1,1,4,0,0,0,2,0.22
197,1000,1,2,1,0,0,0,2,0.08
198,1000,1,2,2,0,0,0,2,0.09666666666666666
199,1000,1,2,3,0,0,0,2,0.056666666666666664
200,1000,1,2,4,0,0,0,2,0.07
201,1000,1,3,1,0,0,0,2,0.08333333333333333
202,1000,1,3,2,0,0,0,2,0.06666666666666667
203,1000,1,3,3,0,0,0,2,0.05333333333333334
204,1000,1,3,4,0,0,0,2,0.10666666666666667
205,1000,1,4,1,0,0,0,2,0.10333333333333333
206,1000,1,4,2,0,0,0,2,0.10333333333333333
207,1000,1,4,3,0,0,0,2,0.06
208,1000,1,4,4,0,0,0,2,0.07
209,1000,2,1,1,0,0,0,2,0.006666666666666667
210,1000,2,1,2,0,0,0,2,0.09
211,1000,2,1,3,0,0,0,2,0.023333333333333334
212,1000,2,1,4,0,0,0,2,0.09666666666666666
213,1000,2,2,1,0,0,0,2,0.02
214,1000,2,2,2,0,0,0,2,0.006666666666666667
215,1000,2,2,3,0,0,0,2,0.0033333333333333335
216,1000,2,2,4,0,0,0,2,0.03333333333333333
217,1000,2,3,1,0,0,0,2,0.04666666666666667
218,1000,2,3,2,0,0,0,2,0.006666666666666667
219,1000,2,3,3,0,0,0,2,0.006666666666666667
220,1000,2,3,4,0,0,0,2,0.043333333333333335
221,1000,2,4,1,0,0,0,2,0.03
222,1000,2,4,2,0,0,0,2,0.0033333333333333335
223,1000,2,4,3,0,0,0,2,0.02
224,1000,2,4,4,0,0,0,2,0.02
225,1000,5,1,1,0,0,0,2,0.013333333333333334
226,1000,5,1,2,0,0,0,2,0.05
227,1000,5,1,3,0,0,0,2,0.013333333333333334
228,1000,5,1,4,0,0,0,2,0.1
229,1000,5,2,1,0,0,0,2,0.02
230,1000,5,2,2,0,0,0,2,0.0
231,1000,5,2,3,0,0,0,2,0.0033333333333333335
232,1000,5,2,4,0,0,0,2,0.03333333333333333
233,1000,5,3,1,0,0,0,2,0.03
234,1000,5,3,2,0,0,0,2,0.0
235,1000,5,3,3,0,0,0,2,0.0
236,1000,5,3,4,0,0,0,2,0.02666666666666667
237,1000,5,4,1,0,0,0,2,0.02666666666666667
238,1000,5,4,2,0,0,0,2,0.0033333333333333335
239,1000,5,4,3,0,0,0,2,0.0
240,1000,5,4,4,0,0,0,2,0.02
241,1000,10,1,1,0,0,0,2,0.006666666666666667
242,1000,10,1,2,0,0,0,2,0.04666666666666667
243,1000,10,1,3,0,0,0,2,0.016666666666666666
244,1000,10,1,4,0,0,0,2,0.14333333333333334
245,1000,10,2,1,0,0,0,2,0.023333333333333334
246,1000,10,2,2,0,0,0,2,0.0
247,1000,10,2,3,0,0,0,2,0.0
248,1000,10,2,4,0,0,0,2,0.0033333333333333335
249,1000,10,3,1,0,0,0,2,0.016666666666666666
250,1000,10,3,2,0,0,0,2,0.0
251,1000,10,3,3,0,0,0,2,0.0
252,1000,10,3,4,0,0,0,2,0.02666666666666667
253,1000,10,4,1,0,0,0,2,0.03333333333333333
254,1000,10,4,2,0,0,0,2,0.0
255,1000,10,4,3,0,0,0,2,0.0
256,1000,10,4,4,0,0,0,2,0.03333333333333333
