Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
1,30,3,1,0,0,0.05,1,2,0.9333333333333333
2,30,3,1,0,0,0.05,2,2,0.9433333333333334
3,30,3,1,0,0,0.05,5,2,0.9333333333333333
4,30,3,1,0,0,0.5,1,2,0.95
5,30,3,1,0,0,0.5,2,2,0.9533333333333334
6,30,3,1,0,0,0.5,5,2,0.9533333333333334
7,30,3,1,0,0,0.9,1,2,0.9633333333333334
8,30,3,1,0,0,0.9,2,2,0.9633333333333334
9,30,3,1,0,0,0.9,5,2,0.9566666666666667
10,30,3,3,0,0,0.05,1,2,0.94
11,30,3,3,0,0,0.05,2,2,0.9666666666666667
12,30,3,3,0,0,0.05,5,2,0.9366666666666666
13,30,3,3,0,0,0.5,1,2,0.9533333333333334
14,30,3,3,0,0,0.5,2,2,0.9333333333333333
15,30,3,3,0,0,0.5,5,2,0.9666666666666667
16,30,3,3,0,0,0.9,1,2,0.94
17,30,3,3,0,0,0.9,2,2,0.9366666666666666
18,30,3,3,0,0,0.9,5,2,0.9466666666666667
19,30,3,4,0,0,0.05,1,2,0.9533333333333334
20,30,3,4,0,0,0.05,2,2,0.9266666666666666
21,30,3,4,0,0,0.05,5,2,0.9633333333333334
22,30,3,4,0,0,0.5,1,2,0.9833333333333333
23,30,3,4,0,0,0.5,2,2,0.9466666666666667
24,30,3,4,0,0,0.5,5,2,0.9333333333333333
25,30,3,4,0,0,0.9,1,2,0.9533333333333334
26,30,3,4,0,0,0.9,2,2,0.9566666666666667
27,30,3,4,0,0,0.9,5,2,0.9533333333333334
28,30,3,10,0,0,0.05,1,2,0.9866666666666667
29,30,3,10,0,0,0.05,2,2,0.9866666666666667
30,30,3,10,0,0,0.05,5,2,0.99
31,30,3,10,0,0,0.5,1,2,0.9866666666666667
32,30,3,10,0,0,0.5,2,2,0.9866666666666667
33,30,3,10,0,0,0.5,5,2,0.97
34,30,3,10,0,0,0.9,1,2,1.0
35,30,3,10,0,0,0.9,2,2,0.9866666666666667
36,30,3,10,0,0,0.9,5,2,0.9933333333333333
37,30,3,15,0,0,0.05,1,2,1.0
38,30,3,15,0,0,0.05,2,2,1.0
39,30,3,15,0,0,0.05,5,2,1.0
40,30,3,15,0,0,0.5,1,2,1.0
41,30,3,15,0,0,0.5,2,2,1.0
42,30,3,15,0,0,0.5,5,2,1.0
43,30,3,15,0,0,0.9,1,2,1.0
44,30,3,15,0,0,0.9,2,2,1.0
45,30,3,15,0,0,0.9,5,2,1.0
46,30,4,1,0,0,0.05,1,2,0.9433333333333334
47,30,4,1,0,0,0.05,2,2,0.9466666666666667
48,30,4,1,0,0,0.05,5,2,0.9433333333333334
49,30,4,1,0,0,0.5,1,2,0.9566666666666667
50,30,4,1,0,0,0.5,2,2,0.9433333333333334
51,30,4,1,0,0,0.5,5,2,0.9466666666666667
52,30,4,1,0,0,0.9,1,2,0.9433333333333334
53,30,4,1,0,0,0.9,2,2,0.9466666666666667
54,30,4,1,0,0,0.9,5,2,0.96
55,30,4,3,0,0,0.05,1,2,0.9333333333333333
56,30,4,3,0,0,0.05,2,2,0.93
57,30,4,3,0,0,0.05,5,2,0.96
58,30,4,3,0,0,0.5,1,2,0.9566666666666667
59,30,4,3,0,0,0.5,2,2,0.9533333333333334
60,30,4,3,0,0,0.5,5,2,0.97
61,30,4,3,0,0,0.9,1,2,0.9533333333333334
62,30,4,3,0,0,0.9,2,2,0.9566666666666667
63,30,4,3,0,0,0.9,5,2,0.9366666666666666
64,30,4,4,0,0,0.05,1,2,0.9466666666666667
65,30,4,4,0,0,0.05,2,2,0.9433333333333334
66,30,4,4,0,0,0.05,5,2,0.9266666666666666
67,30,4,4,0,0,0.5,1,2,0.94
68,30,4,4,0,0,0.5,2,2,0.9566666666666667
69,30,4,4,0,0,0.5,5,2,0.94
